"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tag"
"hsa-miR-29b-3p",8503.24241231903,-0.274417962929,0.071286055203867,-3.84953217209463,0.000118343639616203,0.000315652599629549,"Stable"
"hsa-miR-29c-3p",28083.3626847591,-0.107017235716367,0.0776643343588627,-1.37794570184396,0.168220053158458,0.227911039763071,"Stable"
"hsa-miR-29c-5p",306.923122923761,0.387057095877814,0.0635746399520155,6.08823103315969,1.14165048215759e-09,6.47963787170521e-09,"Stable"
"hsa-miR-301a-3p",50.4181298200348,0.224596585540652,0.0805368561913765,2.78874289563715,0.00529130526081467,0.0101631777875404,"Stable"
"hsa-miR-301a-5p",18.9231231764915,0.302476713164079,0.0947506671320851,3.19234388864426,0.00141123206311928,0.00305524467273246,"Stable"
"hsa-miR-301b-3p",4.17854773834191,0.704237379970538,0.18673844162893,3.77125017124186,0.000162431727331182,0.000417681584565896,"Stable"
"hsa-miR-3065-3p",898.02427137426,0.197455897345431,0.138662585228888,1.42400271147039,0.154445687162346,0.211064605015787,"Stable"
"hsa-miR-3065-5p",46.3587911427746,0.133749910998285,0.145129757426483,0.921588469311938,0.356743275283501,0.443290460411451,"Stable"
"hsa-miR-3074-5p",24.0159149036061,0.848038136226964,0.117214017465887,7.23495495300952,4.65683683486928e-13,5.98736164483193e-12,"Stable"
"hsa-miR-30a-3p",93069.3324286626,0.407394625434371,0.0823982173259944,4.94421649709464,7.6450706807001e-07,2.64637062024234e-06,"Stable"
"hsa-miR-30a-5p",340502.663531528,0.404845329517964,0.0667576912393255,6.06439980176365,1.32447317461254e-09,7.19325948280951e-09,"Stable"
"hsa-miR-30b-3p",44.4120448295956,0.331447995611758,0.0861194297514511,3.84870169912119,0.000118745501765402,0.000315652599629549,"Stable"
"hsa-miR-30b-5p",3628.64758889542,-0.0103574093888733,0.0575015375345308,-0.18012404246849,0.857055188137333,0.885155358240197,"Stable"
"hsa-miR-30c-1-3p",10.7727841911916,0.359065193394874,0.108635543665201,3.30522756439147,0.00094899313837414,0.00209043943068429,"Stable"
"hsa-miR-30c-2-3p",853.583195453698,0.466658452545018,0.0864256333012646,5.39953755291938,6.68128979495262e-08,2.69821318642317e-07,"Stable"
"hsa-miR-30c-5p",6623.26030779677,0.596191999189747,0.0689812503475126,8.64281230314412,5.48459809914966e-18,2.58245308236057e-16,"Stable"
"hsa-miR-30d-3p",56.2665642613301,-0.052809565238372,0.0608059261004567,-0.868493724626873,0.385124106206357,0.473883177558603,"Stable"
"hsa-miR-30d-5p",78712.3288640633,0.0833625491972514,0.0558950455075224,1.49141213573272,0.135853323873277,0.191043736696795,"Stable"
"hsa-miR-30e-3p",48585.5930027001,0.437792647008325,0.0740869699800592,5.90917197890748,3.43831598808252e-09,1.74688634878386e-08,"Stable"
"hsa-miR-30e-5p",60529.7526197485,0.400225894502846,0.0514551294587605,7.7781534846514,7.35907542211265e-15,1.65579196997535e-13,"Stable"
"hsa-miR-31-3p",176.08692032388,-1.08513106659233,0.177510287257655,-6.11306016882993,9.77384981985307e-10,5.59775035137039e-09,"Down"
"hsa-miR-3117-3p",4.73458888318745,0.23669032919761,0.20623818752814,1.14765520408443,0.25111093069155,0.321544484422107,"Stable"
"hsa-miR-3127-5p",18.966880133621,0.107891571573061,0.0803256603791169,1.34317690092854,0.179214699362564,0.23890071598799,"Stable"
"hsa-miR-3130-5p",22.5995969592059,0.10819898207503,0.166752554235501,0.648859518650745,0.516429182482593,0.59807056059565,"Stable"
"hsa-miR-3136-5p",1.5732606217547,-0.461715569893704,0.161652281995649,-2.85622673675669,0.00428708861208456,0.00836181370158907,"Stable"
"hsa-miR-3170",6.76120214197793,0.0713197555134217,0.100891685948442,0.706894278185299,0.479632180010483,0.566919837535843,"Stable"
"hsa-miR-3173-5p",1.47079968595386,0.314506326271467,0.144779617438903,2.17231079785238,0.0298322281231,0.0479446523406964,"Stable"
"hsa-miR-3193",4.19102285652047,0.697589182153763,0.110516906836445,6.31205850871427,2.75348081330566e-10,1.82599253935007e-09,"Stable"
"hsa-miR-3199",4.74992188458826,-0.188988254539439,0.104414430932864,-1.80998213418366,0.0702985577683488,0.104699979654988,"Stable"
"hsa-miR-32-3p",7.10189450403453,0.183552884201979,0.0906256046954613,2.02539762155288,0.0428265514903714,0.0671162374102835,"Stable"
"hsa-miR-32-5p",347.489938368818,0.0219277028943693,0.0684706808683124,0.320249523099415,0.748779184363521,0.801370471407363,"Stable"
"hsa-miR-3200-3p",24.5280793489597,0.555527211857527,0.088180052696594,6.29991925462961,2.97800738055458e-10,1.93416974200968e-09,"Stable"
"hsa-miR-320a-3p",2554.35347987129,0.212744352420944,0.064193018086332,3.31413538049929,0.000919269869073014,0.00203207023689824,"Stable"
"hsa-miR-320b",20.1650406178335,0.041153809441314,0.0772616760603424,0.532654888423238,0.594272499138423,0.664994093174435,"Stable"
"hsa-miR-320c",3.9576844691495,-0.0707560121964219,0.0966055720313938,-0.732421647205074,0.463911250138496,0.552484097518436,"Stable"
"hsa-miR-324-3p",120.239093126549,0.162718694910695,0.0634443210168553,2.56474799166762,0.0103250765912847,0.0186919490014636,"Stable"
"hsa-miR-324-5p",172.103809196875,0.0891595323307457,0.0654249334868377,1.36277604850272,0.17295310186646,0.232821483281773,"Stable"
"hsa-miR-326",26.7814344172404,-0.144860756641929,0.12816261845911,-1.1302886784273,0.258354603572118,0.329480567308571,"Stable"
"hsa-miR-328-3p",759.791686949912,0.160345226434715,0.079625858488513,2.01373309473136,0.0440375634295354,0.0686724380213052,"Stable"
"hsa-miR-330-3p",20.1421580472826,0.0764382445745374,0.097044358931331,0.787662934932936,0.430893891485252,0.51905000312755,"Stable"
"hsa-miR-330-5p",100.796641444757,0.0439063291130743,0.0705123876732874,0.622675398775464,0.533497852354118,0.612210650242431,"Stable"
"hsa-miR-331-3p",292.904620410352,0.393454626714744,0.0757165762207631,5.19641333976286,2.03170246263086e-07,7.52925030269085e-07,"Stable"
"hsa-miR-331-5p",21.6150665801703,0.145843698430183,0.0545207138213227,2.67501447079632,0.00747260246654531,0.0138871373272081,"Stable"
"hsa-miR-335-3p",337.26058487695,0.0241798389100944,0.057926426146972,0.417423281884245,0.676368828434669,0.742356031208784,"Stable"
"hsa-miR-335-5p",73.433389534335,0.162218135291911,0.0793574658427169,2.04414460024997,0.0409392642075208,0.0646409434855592,"Stable"
"hsa-miR-338-3p",3023.97475651431,0.573649644612871,0.109846823025935,5.22226887233173,1.76744088628057e-07,6.66759136740576e-07,"Stable"
"hsa-miR-338-5p",39.6484219447919,0.50142875092436,0.104692609799048,4.78953339578436,1.67169576281861e-06,5.57231920939536e-06,"Stable"
"hsa-miR-339-3p",78.2352004660559,0.0144493993258118,0.0669723474644578,0.215751722507264,0.82918128181387,0.872093835630615,"Stable"
"hsa-miR-339-5p",165.948100826168,-0.17465892200666,0.0762518811974539,-2.29055230197379,0.0219893203182034,0.0365521683389661,"Stable"
"hsa-miR-33a-3p",8.31405246472838,-0.176035439532156,0.101179001269295,-1.73984164029872,0.0818868285078943,0.120816632224762,"Stable"
"hsa-miR-33a-5p",77.3741126058793,-0.318138104328906,0.111033244988603,-2.86525089275344,0.00416678964939965,0.00815241453143411,"Stable"
"hsa-miR-33b-5p",15.1239309186044,-0.529673846795906,0.140928858269631,-3.75844843490118,0.000170970263287348,0.000437850674272478,"Stable"
"hsa-miR-340-3p",28.3731069441314,0.0708930554211475,0.063044138652761,1.12449875493767,0.260801498408466,0.331929179792593,"Stable"
"hsa-miR-340-5p",74.7623488162399,-0.0952034827161821,0.0966229003383128,-0.985309718325979,0.324471960520519,0.40720584686838,"Stable"
"hsa-miR-342-3p",472.601954360205,-0.150206312186559,0.0902691965167318,-1.66398193384515,0.0961160397824777,0.140167397328426,"Stable"
"hsa-miR-342-5p",33.8713929463556,-0.0617826266535351,0.0769420961629591,-0.802975610681088,0.421988831525092,0.511255699732323,"Stable"
"hsa-miR-345-3p",9.42498448442455,0.967980593261266,0.168379540028115,5.7488017433688,8.98781310211892e-09,4.19431278098883e-08,"Stable"
"hsa-miR-345-5p",405.320625190662,1.39622706915279,0.12425378566654,11.2368976257983,2.68658468372892e-29,5.64182783583073e-27,"Up"
