"","logFC","logCPM","LR","PValue","FDR","tag"
"hsa-miR-487b-3p",-1.26563403545821,0.878951626053574,43.5881326342331,4.05289352358578e-11,3.49770262994389e-10,"Down"
"hsa-miR-135b-3p",-0.680871878572661,1.66180268628331,43.4588058197027,4.32978838257695e-11,3.68617119057227e-10,"Stable"
"hsa-miR-877-5p",0.692537048334252,1.30485545834583,43.3879724415743,4.48939129011405e-11,3.7710886836958e-10,"Stable"
"hsa-miR-125b-1-3p",-0.645449389633922,2.58960472573072,43.2359429597965,4.85211121231431e-11,3.96804406963441e-10,"Stable"
"hsa-miR-29c-5p",0.431628396860739,5.98578686402551,43.2303645447947,4.86596448936758e-11,3.96804406963441e-10,"Stable"
"hsa-miR-758-3p",-1.30454923971244,1.80675299294374,43.211615365099,4.91281646716641e-11,3.96804406963441e-10,"Down"
"hsa-miR-382-3p",-1.51047504387449,-0.0587202409185828,43.0199526758832,5.41844328986691e-11,4.3210370539445e-10,"Down"
"hsa-miR-142-5p",-1.05307881947888,5.58969563907048,42.9905850519893,5.50039285457894e-11,4.33155937298092e-10,"Down"
"hsa-miR-4772-3p",-0.950184068056863,1.53485468550791,42.946994134175,5.62432512960431e-11,4.37447510080335e-10,"Stable"
"hsa-miR-30e-3p",0.472417355655009,13.2739278214429,42.2865139289623,7.88343072755292e-11,6.05678214433944e-10,"Stable"
"hsa-miR-184",-2.51091471344531,3.12590332072369,41.752498524661,1.03589789269135e-10,7.78608336277429e-10,"Down"
"hsa-miR-493-3p",-1.32806738250151,0.774395983349139,41.7482629022625,1.0381444483699e-10,7.78608336277429e-10,"Down"
"hsa-miR-188-5p",0.650197736005546,1.08379283294147,41.6007954800195,1.11947711988903e-10,8.29730100623634e-10,"Stable"
"hsa-miR-363-3p",0.696659834069393,2.53617487032441,41.530040685178,1.16073508328058e-10,8.50305933100887e-10,"Stable"
"hsa-miR-30a-5p",0.44514585913892,16.1004555025509,41.0611304085553,1.47541546233577e-10,1.06840430031211e-09,"Stable"
"hsa-miR-6843-3p",-0.941889181847023,1.13398131574363,40.8289246151994,1.66155516938425e-10,1.18952245080918e-09,"Stable"
"hsa-miR-214-5p",-0.903108816892706,3.53923537308839,40.675312028685,1.7974377832896e-10,1.27234359940724e-09,"Stable"
