"","logFC","AveExpr","t","P.Value","adj.P.Val","B","tag"
"hsa-miR-4791",-0.0875863711450723,-0.91691573058754,-0.559479284416203,0.576052232619716,0.643462600266704,-6.92652940733741,"Stable"
"hsa-miR-652-5p",-0.0829950600141713,-1.11130462790312,-0.525040410097882,0.599757207779285,0.664419968618069,-6.94150772690022,"Stable"
"hsa-miR-5091",-0.120223885188478,-0.130138862798778,-0.598264141353423,0.549898960861954,0.620853665489303,-6.94973755208595,"Stable"
"hsa-miR-6802-3p",0.076198521260844,-0.494076633702263,0.524565400206944,0.600087241497906,0.664419968618069,-6.95422857801576,"Stable"
"hsa-miR-3614-3p",0.0779748602737227,-1.52374264406447,0.490601018077379,0.623895581389837,0.687157720761534,-6.95523583473703,"Stable"
"hsa-miR-887-3p",-0.092845305670084,1.67913229178742,-0.820767290496024,0.412118517837878,0.483480833107122,-6.96233590134334,"Stable"
"hsa-miR-154-3p",-0.0827316413127204,-1.29503435923043,-0.470469649479625,0.638197679369011,0.698061031357011,-6.96664511175408,"Stable"
"hsa-miR-2114-5p",0.0830535077660528,-1.08271810488363,0.453934686463091,0.650046892934355,0.708528620326373,-6.97479270700437,"Stable"
"hsa-miR-1301-5p",0.0600684517375192,-1.75954406513656,0.421394936627315,0.673623984632984,0.730435645987573,-6.98660538394687,"Stable"
"hsa-miR-3677-3p",-0.0859786449708031,1.23416254854482,-0.727558423145645,0.467179682144217,0.538068006857142,-6.99161656519545,"Stable"
"hsa-miR-101-5p",-0.106310222984938,4.29060257165581,-0.958354978174252,0.338286032761836,0.407495603518081,-6.99298526583791,"Stable"
"hsa-miR-590-3p",0.0785575066589175,2.06727679927231,0.804783714694476,0.421276689207999,0.491093598608271,-6.9948516773608,"Stable"
"hsa-miR-1304-5p",-0.061549799080677,-1.65275339776078,-0.383651896815103,0.70137809431298,0.75404129593375,-7.00176498924423,"Stable"
"hsa-miR-338-3p",-0.146605953162279,8.86714827433349,-1.05243801808247,0.293040114130471,0.35847625612077,-7.00364257468199,"Stable"
