"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tag"
"hsa-miR-29a-5p",17.4866305539991,0.5735911822266,0.090286403840753,6.35301837072057,2.11130490806009e-10,1.31695256641372e-09,"Stable"
"hsa-miR-29b-1-5p",7.45144326878846,0.419842713941742,0.107153350837739,3.9181482488355,8.92318232751718e-05,0.000262691816183917,"Stable"
"hsa-miR-29b-2-5p",82.4016286719554,0.18015375964229,0.109657805157685,1.64287220032567,0.100409377891155,0.156967513824883,"Stable"
"hsa-miR-29b-3p",1694.10378604774,0.614104532720345,0.0867225189910585,7.08125801539116,1.42851643572809e-12,1.1593943606387e-11,"Stable"
"hsa-miR-29c-3p",5777.16093211926,-0.323120433638887,0.0950675065946013,-3.39885251242338,0.000676691966777799,0.00167840920893706,"Stable"
"hsa-miR-29c-5p",62.269786463238,0.0935017792591516,0.0783507760785136,1.19337400264492,0.232722931859915,0.314625422900743,"Stable"
"hsa-miR-301a-3p",10.0991363878209,0.141107863971,0.100830145093008,1.3994610822075,0.161674760945543,0.234689169114497,"Stable"
"hsa-miR-301a-5p",3.78777782175199,0.294638693549836,0.1215697089518,2.42361930525519,0.015366704853014,0.0291597110162616,"Stable"
"hsa-miR-301b-3p",0.785065964778077,0.121855139728062,0.300248221568961,0.405847998337184,0.684854288825635,0.75166934139399,"Stable"
"hsa-miR-3065-3p",168.783134516322,1.48628382407289,0.166911880307102,8.904601765544,5.35780400609922e-19,7.84980586940119e-18,"Up"
"hsa-miR-3065-5p",8.69146669118274,1.76079059648344,0.190884293783258,9.22438699164401,2.85187457675575e-20,4.72810785093717e-19,"Up"
"hsa-miR-3074-5p",5.29244859797114,-0.95174301085412,0.13747216383903,-6.92316891126079,4.41650627101438e-12,3.23534761713844e-11,"Stable"
"hsa-miR-30a-3p",19697.4453808236,-0.4259310773428,0.103790179150201,-4.10377051885045,4.06470661383989e-05,0.000128038258335957,"Stable"
"hsa-miR-30a-5p",71147.9373808266,-0.369785171946401,0.0822855035227014,-4.49392853073303,6.99211035113359e-06,2.48871724362382e-05,"Stable"
"hsa-miR-30b-3p",8.78508820078056,0.61619630595581,0.116891246534303,5.2715350740569,1.35287427148243e-07,6.13173230959663e-07,"Stable"
"hsa-miR-30b-5p",744.461186842413,-0.108372668221999,0.0693016043798991,-1.56378296277124,0.11786854667932,0.179224441232988,"Stable"
"hsa-miR-30c-1-3p",2.180272918767,0.0534757798788007,0.153261085285756,0.348919491070385,0.727149751933979,0.789835075376563,"Stable"
"hsa-miR-30c-2-3p",178.414805082057,-0.368773384242088,0.109005328460799,-3.38307667569397,0.00071678617143392,0.00177088348236615,"Stable"
"hsa-miR-30c-5p",1368.12229005098,-0.273298959780419,0.0896580595577902,-3.0482363897722,0.00230188773197238,0.00507059185714196,"Stable"
"hsa-miR-30d-3p",11.2162316632475,0.312297356696689,0.0822862525394113,3.79525555070226,0.000147491455176639,0.00041855683225803,"Stable"
"hsa-miR-30d-5p",15601.8673999752,0.33355398769502,0.0683143433147026,4.88263476614921,1.04677650234165e-06,4.12168247797025e-06,"Stable"
"hsa-miR-30e-3p",10114.552684762,-0.23739999436195,0.0941717384641207,-2.52092611046359,0.0117046427274366,0.0226889997485694,"Stable"
"hsa-miR-30e-5p",12284.0282687025,-0.0656708961547985,0.0669380543093211,-0.981069689467414,0.326558376394314,0.422447180961844,"Stable"
