miRNAID,GeneSymbol
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,CFL2
hsa-miR-20b-5p,DPYSL2
hsa-miR-20b-5p,RAB5B
hsa-miR-20b-5p,RAB5B
hsa-miR-221-3p,TRPS1
hsa-miR-221-3p,TRPS1
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,NDFIP1
hsa-miR-221-3p,PCDHA3
hsa-miR-221-3p,PCDHAC1
hsa-miR-221-3p,BMF
hsa-miR-221-3p,BRWD1
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,ARID1A
hsa-miR-221-3p,POGZ
hsa-miR-221-3p,UBN2
hsa-miR-221-3p,POGZ
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,ZNF652
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,FBXO28
hsa-miR-221-3p,PANK3
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,ERBB4
hsa-miR-221-3p,ARID1A
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MIDN
hsa-miR-221-3p,MIDN
hsa-miR-221-3p,ESR1
hsa-miR-221-3p,KIT
hsa-miR-221-3p,BMF
hsa-miR-221-3p,BRWD1
hsa-miR-221-3p,ESR1
hsa-miR-221-3p,ZNF652
hsa-miR-221-3p,STMN1
hsa-miR-221-3p,FMR1
hsa-miR-221-3p,FMR1
hsa-miR-221-3p,FMR1
hsa-miR-221-3p,POGZ
hsa-miR-221-3p,POGZ
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-34a-5p,CDK6
hsa-miR-34a-5p,TSN
hsa-miR-34a-5p,ZDHHC16
hsa-miR-34a-5p,PEA15
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,ACSL4
hsa-miR-34a-5p,ACSL4
hsa-miR-34a-5p,FUT8
hsa-miR-34a-5p,ZDHHC16
hsa-miR-34a-5p,POU2F1
hsa-miR-34a-5p,MTMR9
hsa-miR-34a-5p,MTMR9
hsa-miR-34a-5p,ANKS1A
hsa-miR-34a-5p,MTMR9
hsa-miR-34a-5p,MTMR9
hsa-miR-34a-5p,TENT5A
hsa-miR-34a-5p,LRRC40
hsa-miR-34a-5p,TGIF2
hsa-miR-34a-5p,TGIF2
hsa-miR-34a-5p,PPP1R11
hsa-miR-34a-5p,ACSL4
hsa-miR-34a-5p,POU2F1
hsa-miR-34a-5p,FKBP1B
hsa-miR-34a-5p,ACSL4
hsa-miR-34a-5p,TSN
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,PDGFRA
hsa-miR-34a-5p,RRAS
hsa-miR-34a-5p,SNTB2
hsa-miR-34a-5p,PDXK
hsa-miR-34a-5p,POU2F1
hsa-miR-34a-5p,FUT8
hsa-miR-34a-5p,PODXL
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,E2F5
hsa-miR-34a-5p,CDK6
hsa-miR-34a-5p,STX1A
hsa-miR-34a-5p,LEF1
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,POU2F1
hsa-miR-34a-5p,POU2F1
hsa-miR-34a-5p,TGIF2
hsa-miR-34a-5p,TGIF2
hsa-miR-34a-5p,TGIF2
hsa-miR-34a-5p,TGIF2
